# Task file, format (one line per task):
# IPC   MPI     INSTR   DEADL   DOP	MISSRATEFUNC

1.0     0.0     20e6    20       2	powerlaw 0.1 -0.1
1.0     0.0     20e6    20       2	powerlaw 0.1 -0.1
1.0     0.0     20e6    20       2	powerlaw 0.1 -0.1
1.0     0.0     20e6    20       2	powerlaw 0.1 -0.1
1.0     0.0     20e6    20       2	powerlaw 0.1 -0.1
1.0     0.0     20e6    20       2	powerlaw 0.1 -0.1
1.0     0.0     20e6    20       2	powerlaw 0.1 -0.1
1.0     0.0     20e6    20       2	powerlaw 0.1 -0.1
1.0     0.0     20e6    20       2	powerlaw 0.1 -0.1
1.0     0.0     20e6    20       2	powerlaw 0.1 -0.1
1.0     0.0     20e6    20       2	powerlaw 0.1 -0.1
1.0     0.0     20e6    20       2	powerlaw 0.1 -0.1
1.0     0.0     20e6    20       2	powerlaw 0.1 -0.1
1.0     0.0     20e6    20       2	powerlaw 0.1 -0.1
1.0     0.0     20e6    20       2	powerlaw 0.1 -0.1
1.0     0.0     20e6    20       2	powerlaw 0.1 -0.1
1.0     0.0     20e6    20       2	powerlaw 0.1 -0.1
1.0     0.0     20e6    20       2	powerlaw 0.1 -0.1
1.0     0.0     20e6    20       2	powerlaw 0.1 -0.1
1.0     0.0     20e6    20       2	powerlaw 0.1 -0.1
1.0     0.0     20e6    20       2	powerlaw 0.1 -0.1
1.0     0.0     20e6    20       2	powerlaw 0.1 -0.1
1.0     0.0     20e6    20       2	powerlaw 0.1 -0.1
1.0     0.0     20e6    20       2	powerlaw 0.1 -0.1
1.0     0.0     20e6    20       2	powerlaw 0.1 -0.1
1.0     0.0     20e6    20       2	powerlaw 0.1 -0.1
1.0     0.0     20e6    20       2	powerlaw 0.1 -0.1
1.0     0.0     20e6    20       2	powerlaw 0.1 -0.1
1.0     0.0     20e6    20       2	powerlaw 0.1 -0.1
1.0     0.0     20e6    20       2	powerlaw 0.1 -0.1
1.0     0.0     20e6    20       2	powerlaw 0.1 -0.1
1.0     0.0     20e6    20       2	powerlaw 0.1 -0.1
1.0     0.0     20e6    20       2	powerlaw 0.1 -0.1
1.0     0.0     20e6    20       2	powerlaw 0.1 -0.1
1.0     0.0     20e6    20       2	powerlaw 0.1 -0.1
1.0     0.0     20e6    20       2	powerlaw 0.1 -0.1
1.0     0.0     20e6    20       2	powerlaw 0.1 -0.1
1.0     0.0     20e6    20       2	powerlaw 0.1 -0.1
1.0     0.0     20e6    20       2	powerlaw 0.1 -0.1
1.0     0.0     20e6    20       2	powerlaw 0.1 -0.1
1.0     0.0     20e6    20       2	powerlaw 0.1 -0.1
1.0     0.0     20e6    20       2	powerlaw 0.1 -0.1
1.0     0.0     20e6    20       2	powerlaw 0.1 -0.1
1.0     0.0     20e6    20       2	powerlaw 0.1 -0.1
1.0     0.0     20e6    20       2	powerlaw 0.1 -0.1
1.0     0.0     20e6    20       2	powerlaw 0.1 -0.1
1.0     0.0     20e6    20       2	powerlaw 0.1 -0.1
1.0     0.0     20e6    20       2	powerlaw 0.1 -0.1
1.0     0.0     20e6    20       2	powerlaw 0.1 -0.1
1.0     0.0     20e6    20       2	powerlaw 0.1 -0.1
1.0     0.0     20e6    20       2	powerlaw 0.1 -0.1
1.0     0.0     20e6    20       2	powerlaw 0.1 -0.1
1.0     0.0     20e6    20       2	powerlaw 0.1 -0.1
1.0     0.0     20e6    20       2	powerlaw 0.1 -0.1
1.0     0.0     20e6    20       2	powerlaw 0.1 -0.1
1.0     0.0     20e6    20       2	powerlaw 0.1 -0.1
1.0     0.0     20e6    20       2	powerlaw 0.1 -0.1
1.0     0.0     20e6    20       2	powerlaw 0.1 -0.1
1.0     0.0     20e6    20       2	powerlaw 0.1 -0.1
1.0     0.0     20e6    20       2	powerlaw 0.1 -0.1
1.0     0.0     20e6    20       2	powerlaw 0.1 -0.1
1.0     0.0     20e6    20       2	powerlaw 0.1 -0.1
1.0     0.0     20e6    20       2	powerlaw 0.1 -0.1
1.0     0.0     20e6    20       2	powerlaw 0.1 -0.1

